Code,Prijs,Adres,Stad,Type,Bouwjaar,EPC,Woonopp,Slaapkamers,Badkamers,Grondopp,Bebouwing,Garages,Tuin,Dagen,Link,Handelsopp,First,Last,Scraped
,,,,,,,,,,,,,,,,,,,2023-10-09 00:00:00
,,,,,,,,,,,,,,,,,,,2023-10-09 00:00:00
KI5ZI,189000, Straatnietgekend ,, Appartement , opaanvraag Â»,302 k Wh / m Â²,63,1,1,,,,,17.0,https://www.zimmo.be/nl/laken-1020/te-koop/appartement/KI5ZI,,2023-09-22 00:00:00,,2023-10-09 00:00:00
KIMTL,400000, Avenue Livingstone 6,1000 Brussel , Appartement ,2014,79 k Wh / m Â²,76,1,1,,,,,1.0,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIMTL,,2023-10-08 00:00:00,,2023-10-09 00:00:00
KI2QW,485000, Gulden Vlieslaan 17/50,1050 Elsene , Appartement ,2020,73 k Wh / m Â²,70,1,1,,,,,6.0,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KI2QW,,2023-10-03 00:00:00,,2023-10-09 00:00:00
KI8I8,500000, Straatnietgekend ,, Appartement , opaanvraag Â»,79 k Wh / m Â²,121,2,1,,,,,10.0,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KI8I8,,2023-09-29 00:00:00,,2023-10-09 00:00:00
KD8YK,399000, Groendreef 2/ G 7.4,1000 Brussel , Appartement ,2019,105 k Wh / m Â²,80, opaanvraag Â»,1,,,,,32.0,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KD8YK,,2023-09-07 00:00:00,,2023-10-09 00:00:00
04CET,285000, Steenbakkerijstraat 13,1020 Laken , Project ,2024, Bekijkinfo ,86, opaanvraag Â»,1,,,,,19.0,https://www.zimmo.be/nl/laken-1020/te-koop/nieuwbouwproject/1004CET,,2023-09-20 00:00:00,,2023-10-09 00:00:00
04CER,285000, steenbakkerijstraat 13,1000 Brussel , Project ,2024, Bekijkinfo ,86, opaanvraag Â»,1,,,,,19.0,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004CER,,2023-09-20 00:00:00,,2023-10-09 00:00:00
KIMQ2,545000, Avenue Louise - Louizalaan 304/5.1,1050 Elsene , Appartement ,2009,124 k Wh / m Â²,129,2,2,,,,,5.0,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KIMQ2,,2023-10-04 00:00:00,,2023-10-09 00:00:00
048BC,285000, Ruedela Briqueterie - Steenbak 15,1020 Laken , Project ,2021, Bekijkinfo ,86, opaanvraag Â»,2,,,,,104.0,https://www.zimmo.be/nl/laken-1020/te-koop/nieuwbouwproject/10048BC,,2023-06-27 00:00:00,,2023-10-09 00:00:00
04BU5,, Quaiau Foin 59/65,1000 Brussel , Project ,2023, Bekijkinfo ,48, opaanvraag Â»,2,,,,,66.0,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004BU5,,2023-08-04 00:00:00,,2023-10-09 00:00:00
KIM6Q,240000, Straatnietgekend ,, Appartement , opaanvraag Â»,168 k Wh / m Â²,50,1,2,,,,,8.0,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KIM6Q,,2023-10-01 00:00:00,,2023-10-09 00:00:00
KIM0L,225000, Straatnietgekend ,, Appartement ,1978,136 k Wh / m Â²,73,1,1,,,,,2.0,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/appartement/KIM0L,,2023-10-07 00:00:00,,2023-10-09 00:00:00
KIM0K,225000, Straatnietgekend ,, Appartement ,1978,136 k Wh / m Â²,73,1,1,,,,,3.0,https://www.zimmo.be/nl/neder-over-heembeek-1120/te-koop/appartement/KIM0K,,2023-10-06 00:00:00,,2023-10-09 00:00:00
KILTU,1880000, Straatnietgekend ,, Penthouse ( Appartement ),1956,315 k Wh / m Â²,345,4,4,,,1,,5.0,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KILTU,,2023-10-04 00:00:00,,2023-10-09 00:00:00
04DTI,432000, Parkdreef 45,1000 Brussel , Project ,2023, Bekijkinfo ,109, opaanvraag Â»,4,,,1,,4.0,https://www.zimmo.be/nl/brussel-1000/te-koop/nieuwbouwproject/1004DTI,,2023-10-05 00:00:00,,2023-10-09 00:00:00
KILTS,1880000, Straatnietgekend ,, Penthouse ( Appartement ),1956,315 k Wh / m Â²,345,4,4,,,1,,5.0,https://www.zimmo.be/nl/elsene-1050/te-koop/appartement/KILTS,,2023-10-04 00:00:00,,2023-10-09 00:00:00
KILRO,1650000, Ruedu Grand Hospice 3 A ,1000 Brussel , Woning ( Huis ),1914, Inaanvraag ,45,5,1,, gesloten ,1,,3.0,https://www.zimmo.be/nl/brussel-1000/te-koop/huis/KILRO,,2023-10-06 00:00:00,,2023-10-09 00:00:00
KILJ5,495000, Straatnietgekend ,, Loft ( Appartement ), opaanvraag Â», Inaanvraag ,200,3,1,, gesloten ,1,,9.0,https://www.zimmo.be/nl/brussel-1000/te-koop/appartement/KILJ5,,2023-09-30 00:00:00,,2023-10-09 00:00:00
